Description:	mydgemm

Size:	testGflops/s	refGflops/s	percent
352	17.4		28.6		0.609
353	15.8		27.4		0.577
354	17.6		26.8		0.655
355	15.9		27.3		0.582
356	17.6		28.7		0.613
357	16		27.4		0.583
358	17.6		28.4		0.619
359	15.9		27.3		0.582
360	17.2		28.6		0.603
361	15.9		27.5		0.579
362	17.7		28.2		0.626
363	16		27.4		0.584
364	17.7		28.7		0.617
365	16		27.4		0.584
366	17.6		28.4		0.618
367	15.9		27.3		0.584
368	17.3		28.6		0.605
369	16		27.5		0.582
370	17.7		28.4		0.623
371	16		27.4		0.586
372	17.8		28.7		0.62
373	16.2		27.4		0.589
374	17.8		28.4		0.626
375	16.1		26.1		0.616
376	17.4		28.6		0.608
377	16.1		27.5		0.584
378	17.8		28.4		0.627
379	16.1		27.4		0.587
380	17.8		28.7		0.622
381	16.2		27.5		0.589
382	17.7		28.4		0.622
383	15.6		27.4		0.571
384	14.8		28.6		0.516
385	15.2		27.5		0.553
386	17.4		28.4		0.611
387	15.8		27.5		0.576
388	17.6		28.7		0.612
389	15.9		27.5		0.579
390	17.5		28.4		0.617
391	15.9		27.4		0.58
392	17.2		28.6		0.6
393	15.9		27.5		0.577
394	17.6		28.4		0.62
395	16		27.4		0.582
396	17.7		28.7		0.617
397	16.1		27.5		0.584
398	17.7		28.4		0.623
399	16		27.4		0.582
400	17.3		28.5		0.606
401	16		27.5		0.58
402	17.7		28.4		0.622
403	16		27.5		0.581
404	17.7		28.7		0.617
405	16.1		27.5		0.585
406	17.7		28.4		0.625
407	16		27.4		0.585
408	17.3		28.5		0.606
409	15.7		27.6		0.567
410	17.1		28.4		0.603
411	15.8		27.4		0.577
412	17.7		28.7		0.616
413	16.1		27.6		0.583
414	17.7		28.4		0.624
415	16		27.4		0.585
416	17.4		28.6		0.608
417	15.8		27.6		0.574
418	17.6		28.4		0.62
419	15.9		27.4		0.58
420	17.6		28.7		0.613
421	16		27.6		0.579
422	17.6		28.4		0.619
423	15.9		27.5		0.578
424	17.2		28.4		0.606
425	15.9		27.6		0.575
426	17.4		28.3		0.616
427	15.7		27.4		0.574
428	17.5		28.7		0.611
429	16		27.5		0.58
430	17.6		28.3		0.623
431	15.9		27.4		0.583
432	17.2		28.4		0.607
433	15.9		27.6		0.578
434	17.7		28.3		0.624
435	16		27.4		0.583
436	17.7		28.6		0.618
437	16.1		27.5		0.584
438	17.7		28.3		0.625
439	15.9		27.3		0.582
440	17.2		28.4		0.607
441	15.9		27.5		0.579
442	17.7		28.3		0.625
443	16		27.4		0.584
444	17.7		28.6		0.619
445	16.1		27.5		0.585
446	17.7		28.2		0.627
447	16		27.4		0.586
448	17.4		28.4		0.612
449	15.8		27.5		0.573
450	17.5		28.3		0.62
451	15.8		27.4		0.578
452	17.5		28.6		0.613
453	15.9		27.5		0.579
454	17.5		28.2		0.621
455	15.8		27.4		0.578
456	17.1		28.4		0.602
457	15.8		27.5		0.575
458	17.5		28.2		0.62
459	15.8		27.3		0.578
460	17.5		28.5		0.615
461	15.9		27.5		0.579
462	17.5		28.2		0.621
463	15.8		27.3		0.579
464	17.2		28.4		0.604
465	15.8		27.6		0.575
466	17.5		28.4		0.618
467	15.8		27.5		0.575
468	17.5		28.5		0.615
469	15.9		27.5		0.579
470	17.5		28.3		0.619
471	15.9		27.4		0.578
472	17.2		28.4		0.605
473	15.8		27.5		0.574
474	17.5		28.3		0.618
475	15.8		27.5		0.575
476	17.5		28.5		0.616
477	15.9		27.5		0.579
478	17.5		28.3		0.617
479	15.9		27.5		0.578
480	17.2		28.4		0.605
481	15.6		27.5		0.568
482	17.3		28.2		0.613
483	15.7		27.4		0.572
484	17.2		28.3		0.608
485	15.7		27.4		0.574
486	17.3		28.2		0.614
487	15.7		27.4		0.572
488	16.9		28.2		0.6
489	15.6		27.5		0.568
490	17.3		28.2		0.613
491	15.6		27.4		0.57
492	17.3		28.3		0.611
493	15.7		27.4		0.575
494	17.3		28		0.616
495	15.7		27.2		0.575
496	17		28.3		0.6
497	15.6		27.4		0.569
498	17.2		28.2		0.613
499	15.6		27.3		0.57
500	17.2		28.3		0.607
501	15.6		27.3		0.571
502	17.1		28.1		0.609
503	15.5		27.2		0.568
504	16.6		28.2		0.588
505	14.8		27.4		0.541
506	16.3		28.1		0.58
507	14.3		27.2		0.524
508	15.1		28.2		0.536
509	12.8		27.1		0.473
510	14.1		27.9		0.506
511	12		26.6		0.449
512	10.4		28		0.373
513	10.2		26.9		0.379
514	13.5		27.5		0.491
515	12.8		27.1		0.473
516	15		27.9		0.538
517	14.2		27.3		0.519
518	15.4		27.6		0.558
519	14.8		27.3		0.544
520	16.3		27.8		0.584
521	15.1		27.4		0.549
522	16.8		27.7		0.605
523	15.3		27.4		0.559
524	17		28.1		0.604
